reaction_time:282ship_height:500,[0.02392726]
reaction_time:283ship_height:500,[0.02215395]
reaction_time:284ship_height:500,[0.0265706]
reaction_time:285ship_height:500,[0.02595713]
reaction_time:286ship_height:500,[0.02842477]
reaction_time:287ship_height:500,[0.02857257]
reaction_time:288ship_height:500,[0.02481052]
reaction_time:289ship_height:500,[0.02138125]
reaction_time:290ship_height:500,[0.02163714]
reaction_time:291ship_height:500,[0.02398827]
reaction_time:292ship_height:500,[0.02981222]
reaction_time:293ship_height:500,[0.02294486]
reaction_time:294ship_height:500,[0.02395255]
reaction_time:295ship_height:500,[0.02729132]
reaction_time:296ship_height:500,[0.02861675]
reaction_time:297ship_height:500,[0.02939517]
reaction_time:298ship_height:500,[0.02945161]
reaction_time:299ship_height:500,[0.02709284]
reaction_time:300ship_height:500,[0.03004156]
reaction_time:301ship_height:500,[0.02585868]
reaction_time:302ship_height:500,[0.02575968]
reaction_time:303ship_height:500,[0.02637498]
reaction_time:304ship_height:500,[0.02512243]
reaction_time:305ship_height:500,[0.02468646]
reaction_time:306ship_height:500,[0.02796187]
reaction_time:307ship_height:500,[0.02501085]
reaction_time:308ship_height:500,[0.02998663]
reaction_time:309ship_height:500,[0.03295745]
reaction_time:310ship_height:500,[0.02696881]
reaction_time:311ship_height:500,[0.03214196]
reaction_time:312ship_height:500,[0.02686233]
reaction_time:313ship_height:500,[0.03429933]
reaction_time:314ship_height:500,[0.03385348]
reaction_time:315ship_height:500,[0.02941055]
reaction_time:316ship_height:500,[0.02676134]
reaction_time:317ship_height:500,[0.02563408]
reaction_time:318ship_height:500,[0.02788776]
reaction_time:319ship_height:500,[0.02770915]
reaction_time:320ship_height:500,[0.02949044]
reaction_time:321ship_height:500,[0.02587445]
reaction_time:322ship_height:500,[0.03333603]
reaction_time:323ship_height:500,[0.0291382]
reaction_time:324ship_height:500,[0.02641137]
reaction_time:325ship_height:500,[0.02404648]
reaction_time:326ship_height:500,[0.02962212]
reaction_time:327ship_height:500,[0.02953354]
reaction_time:328ship_height:500,[0.03444368]
reaction_time:329ship_height:500,[0.03044442]
reaction_time:330ship_height:500,[0.02881218]
reaction_time:331ship_height:500,[0.03624468]
reaction_time:332ship_height:500,[0.0262645]
reaction_time:333ship_height:500,[0.02758214]
reaction_time:334ship_height:500,[0.03433667]
reaction_time:335ship_height:500,[0.02999518]
reaction_time:336ship_height:500,[0.03138544]
reaction_time:337ship_height:500,[0.02736167]
reaction_time:338ship_height:500,[0.02899605]
reaction_time:339ship_height:500,[0.02724885]
reaction_time:340ship_height:500,[0.0311723]
reaction_time:341ship_height:500,[0.03052915]
reaction_time:342ship_height:500,[0.0256602]
reaction_time:343ship_height:500,[0.03124852]
reaction_time:344ship_height:500,[0.02599658]
reaction_time:345ship_height:500,[0.03418139]
reaction_time:346ship_height:500,[0.02715165]
reaction_time:347ship_height:500,[0.0295325]
