reaction_time:0ship_height:500,[nan]
reaction_time:56ship_height:500,[1.]
reaction_time:57ship_height:500,[0.99446154]
reaction_time:58ship_height:500,[0.99846154]
reaction_time:59ship_height:500,[0.98865598]
reaction_time:60ship_height:500,[0.99846154]
reaction_time:61ship_height:500,[0.99059838]
reaction_time:62ship_height:500,[0.99722944]
reaction_time:63ship_height:500,[1.]
reaction_time:64ship_height:500,[0.99846154]
reaction_time:65ship_height:500,[0.99116491]
reaction_time:66ship_height:500,[0.99414286]
reaction_time:67ship_height:500,[0.99693182]
reaction_time:68ship_height:500,[0.9972381]
reaction_time:69ship_height:500,[0.99771242]
reaction_time:70ship_height:500,[1.]
reaction_time:71ship_height:500,[0.99833333]
reaction_time:72ship_height:500,[0.99352625]
reaction_time:73ship_height:500,[0.9958278]
reaction_time:74ship_height:500,[0.99666667]
reaction_time:75ship_height:500,[0.99390769]
reaction_time:76ship_height:500,[0.99343376]
reaction_time:77ship_height:500,[0.9980778]
reaction_time:78ship_height:500,[0.99292484]
reaction_time:79ship_height:500,[0.99421429]
reaction_time:80ship_height:500,[0.99527273]
reaction_time:81ship_height:500,[0.98960681]
reaction_time:82ship_height:500,[0.99374499]
reaction_time:83ship_height:500,[0.99031346]
reaction_time:84ship_height:500,[0.99584285]
reaction_time:85ship_height:500,[0.99612329]
reaction_time:86ship_height:500,[0.99467582]
reaction_time:87ship_height:500,[0.99821429]
reaction_time:88ship_height:500,[0.99715686]
reaction_time:89ship_height:500,[0.99479585]
reaction_time:90ship_height:500,[0.99586324]
reaction_time:91ship_height:500,[0.98906034]
reaction_time:92ship_height:500,[0.9919075]
reaction_time:93ship_height:500,[0.99047804]
reaction_time:94ship_height:500,[0.99509779]
reaction_time:95ship_height:500,[0.99198755]
reaction_time:96ship_height:500,[0.9912375]
reaction_time:97ship_height:500,[0.9935755]
reaction_time:98ship_height:500,[0.994568]
reaction_time:99ship_height:500,[0.99137458]
reaction_time:100ship_height:500,[0.99675192]
reaction_time:101ship_height:500,[0.99448507]
reaction_time:102ship_height:500,[0.9976567]
reaction_time:103ship_height:500,[0.99203023]
reaction_time:104ship_height:500,[0.98874424]
reaction_time:105ship_height:500,[0.99064514]
reaction_time:106ship_height:500,[0.99537749]
reaction_time:107ship_height:500,[0.98802674]
reaction_time:108ship_height:500,[0.99447516]
reaction_time:109ship_height:500,[0.99207661]
reaction_time:110ship_height:500,[0.99466934]
reaction_time:111ship_height:500,[0.99096326]
reaction_time:112ship_height:500,[0.99396983]
reaction_time:113ship_height:500,[0.99133027]
reaction_time:114ship_height:500,[0.98924078]
reaction_time:115ship_height:500,[0.98775442]
reaction_time:116ship_height:500,[0.99232669]
reaction_time:117ship_height:500,[0.99443617]
reaction_time:118ship_height:500,[0.99053188]
reaction_time:119ship_height:500,[0.99285041]
reaction_time:120ship_height:500,[0.99536277]
reaction_time:121ship_height:500,[0.99088718]
reaction_time:122ship_height:500,[0.99341557]
reaction_time:123ship_height:500,[0.98599739]
reaction_time:124ship_height:500,[0.99123932]
reaction_time:125ship_height:500,[0.99177628]
reaction_time:126ship_height:500,[0.99368359]
reaction_time:127ship_height:500,[0.9910037]
reaction_time:128ship_height:500,[0.98793501]
reaction_time:129ship_height:500,[0.99415631]
reaction_time:130ship_height:500,[0.99039735]
reaction_time:131ship_height:500,[0.99122671]
reaction_time:132ship_height:500,[0.99058319]
reaction_time:133ship_height:500,[0.99368624]
reaction_time:134ship_height:500,[0.98352085]
reaction_time:135ship_height:500,[0.98578554]
reaction_time:136ship_height:500,[0.9877587]
reaction_time:137ship_height:500,[0.98950463]
reaction_time:138ship_height:500,[0.98967965]
reaction_time:139ship_height:500,[0.99174971]
reaction_time:140ship_height:500,[0.98977466]
reaction_time:141ship_height:500,[0.99214089]
reaction_time:142ship_height:500,[0.98716952]
reaction_time:143ship_height:500,[0.98643822]
reaction_time:144ship_height:500,[0.98887754]
reaction_time:145ship_height:500,[0.98828855]
reaction_time:146ship_height:500,[0.9887614]
reaction_time:147ship_height:500,[0.98833592]
reaction_time:148ship_height:500,[0.98651586]
reaction_time:149ship_height:500,[0.98629212]
reaction_time:150ship_height:500,[0.98670196]
reaction_time:151ship_height:500,[0.98672349]
reaction_time:152ship_height:500,[0.98734807]
reaction_time:153ship_height:500,[0.99024898]
reaction_time:154ship_height:500,[0.98626441]
reaction_time:155ship_height:500,[0.9890234]
reaction_time:156ship_height:500,[0.98491782]
reaction_time:157ship_height:500,[0.98442979]
reaction_time:158ship_height:500,[0.99433237]
reaction_time:159ship_height:500,[0.98598373]
reaction_time:160ship_height:500,[0.98943911]
reaction_time:161ship_height:500,[0.98217614]
reaction_time:162ship_height:500,[0.98426232]
reaction_time:163ship_height:500,[0.9809891]
reaction_time:164ship_height:500,[0.98634298]
reaction_time:165ship_height:500,[0.98109589]
reaction_time:166ship_height:500,[0.98295826]
reaction_time:167ship_height:500,[0.97996752]
reaction_time:168ship_height:500,[0.97838678]
reaction_time:169ship_height:500,[0.98078166]
reaction_time:170ship_height:500,[0.98252633]
reaction_time:171ship_height:500,[0.98726198]
reaction_time:172ship_height:500,[0.97973589]
reaction_time:173ship_height:500,[0.98708477]
reaction_time:174ship_height:500,[0.98695729]
reaction_time:175ship_height:500,[0.98716721]
reaction_time:176ship_height:500,[0.97823565]
reaction_time:177ship_height:500,[0.97987654]
reaction_time:178ship_height:500,[0.98353973]
reaction_time:179ship_height:500,[0.98388606]
reaction_time:180ship_height:500,[0.98106566]
reaction_time:181ship_height:500,[0.97931353]
reaction_time:182ship_height:500,[0.97804547]
reaction_time:183ship_height:500,[0.98281817]
reaction_time:184ship_height:500,[0.98349477]
reaction_time:185ship_height:500,[0.97711617]
reaction_time:186ship_height:500,[0.9778414]
reaction_time:187ship_height:500,[0.98439536]
reaction_time:188ship_height:500,[0.98264106]
reaction_time:189ship_height:500,[0.98180195]
reaction_time:190ship_height:500,[0.98271317]
reaction_time:191ship_height:500,[0.9830917]
reaction_time:192ship_height:500,[0.97483138]
reaction_time:193ship_height:500,[0.97871764]
reaction_time:194ship_height:500,[0.97637204]
reaction_time:195ship_height:500,[0.97957553]
reaction_time:196ship_height:500,[0.97634833]
reaction_time:197ship_height:500,[0.97749622]
reaction_time:198ship_height:500,[0.97385337]
reaction_time:199ship_height:500,[0.97885859]
reaction_time:200ship_height:500,[0.98009622]
reaction_time:201ship_height:500,[0.97490775]
reaction_time:202ship_height:500,[0.9798643]
reaction_time:203ship_height:500,[0.9786723]
reaction_time:204ship_height:500,[0.9823038]
reaction_time:205ship_height:500,[0.97898549]
reaction_time:206ship_height:500,[0.97717535]
reaction_time:207ship_height:500,[0.97454928]
reaction_time:208ship_height:500,[0.97362561]
reaction_time:209ship_height:500,[0.98522283]
reaction_time:210ship_height:500,[0.97698662]
reaction_time:211ship_height:500,[0.98031573]
reaction_time:212ship_height:500,[0.97587879]
reaction_time:213ship_height:500,[0.98017471]
reaction_time:214ship_height:500,[0.97610274]
reaction_time:215ship_height:500,[0.97992264]
reaction_time:216ship_height:500,[0.97587644]
reaction_time:217ship_height:500,[0.97730189]
reaction_time:218ship_height:500,[0.97967892]
reaction_time:219ship_height:500,[0.97341347]
reaction_time:220ship_height:500,[0.97585941]
reaction_time:221ship_height:500,[0.96955131]
reaction_time:222ship_height:500,[0.97584759]
reaction_time:223ship_height:500,[0.97181488]
reaction_time:224ship_height:500,[0.97551147]
reaction_time:225ship_height:500,[0.9763024]
reaction_time:226ship_height:500,[0.96992228]
reaction_time:227ship_height:500,[0.97673149]
reaction_time:228ship_height:500,[0.97307797]
reaction_time:229ship_height:500,[0.97066035]
reaction_time:230ship_height:500,[0.97670566]
reaction_time:231ship_height:500,[0.97265031]
reaction_time:232ship_height:500,[0.97742424]
reaction_time:233ship_height:500,[0.96748601]
reaction_time:234ship_height:500,[0.9710486]
reaction_time:235ship_height:500,[0.97279715]
reaction_time:236ship_height:500,[0.97124041]
reaction_time:237ship_height:500,[0.97542523]
reaction_time:238ship_height:500,[0.97349046]
reaction_time:239ship_height:500,[0.96540039]
reaction_time:240ship_height:500,[0.96731207]
reaction_time:241ship_height:500,[0.96687323]
reaction_time:242ship_height:500,[0.97284492]
reaction_time:243ship_height:500,[0.96800322]
reaction_time:244ship_height:500,[0.97081507]
reaction_time:245ship_height:500,[0.96280148]
reaction_time:246ship_height:500,[0.96315555]
reaction_time:247ship_height:500,[0.96927831]
reaction_time:248ship_height:500,[0.96688309]
reaction_time:249ship_height:500,[0.96624247]
reaction_time:250ship_height:500,[0.96777875]
reaction_time:251ship_height:500,[0.96783223]
reaction_time:252ship_height:500,[0.9703014]
reaction_time:253ship_height:500,[0.96865329]
reaction_time:254ship_height:500,[0.96686701]
reaction_time:255ship_height:500,[0.96994041]
reaction_time:256ship_height:500,[0.96575819]
reaction_time:257ship_height:500,[0.96317669]
reaction_time:258ship_height:500,[0.96644686]
reaction_time:259ship_height:500,[0.96766248]
reaction_time:260ship_height:500,[0.96828482]
reaction_time:261ship_height:500,[0.96418501]
reaction_time:262ship_height:500,[0.9612354]
reaction_time:263ship_height:500,[0.96041938]
reaction_time:264ship_height:500,[0.95774258]
reaction_time:265ship_height:500,[0.96264079]
reaction_time:266ship_height:500,[0.96609368]
reaction_time:267ship_height:500,[0.96576169]
reaction_time:268ship_height:500,[0.96522075]
reaction_time:269ship_height:500,[0.96119362]
reaction_time:270ship_height:500,[0.96367029]
reaction_time:271ship_height:500,[0.96059395]
reaction_time:272ship_height:500,[0.95590273]
reaction_time:273ship_height:500,[0.95637591]
reaction_time:274ship_height:500,[0.96448544]
reaction_time:275ship_height:500,[0.96253414]
reaction_time:276ship_height:500,[0.95879572]
reaction_time:277ship_height:500,[0.95800061]
reaction_time:278ship_height:500,[0.96007787]
reaction_time:279ship_height:500,[0.95902803]
reaction_time:280ship_height:500,[0.95524524]
reaction_time:281ship_height:500,[0.96189564]
reaction_time:282ship_height:500,[0.96507853]
reaction_time:283ship_height:500,[0.95977834]
reaction_time:284ship_height:500,[0.959422]
reaction_time:285ship_height:500,[0.96493409]
reaction_time:286ship_height:500,[0.95430878]
reaction_time:287ship_height:500,[0.95039457]
reaction_time:288ship_height:500,[0.9604276]
reaction_time:289ship_height:500,[0.96069933]
reaction_time:290ship_height:500,[0.95659361]
reaction_time:291ship_height:500,[0.95417686]
reaction_time:292ship_height:500,[0.95104294]
reaction_time:293ship_height:500,[0.95346093]
reaction_time:294ship_height:500,[0.95680503]
reaction_time:295ship_height:500,[0.94663188]
reaction_time:296ship_height:500,[0.95407593]
reaction_time:297ship_height:500,[0.95338228]
reaction_time:298ship_height:500,[0.94893022]
reaction_time:299ship_height:500,[0.95564984]
reaction_time:300ship_height:500,[0.94753696]
reaction_time:301ship_height:500,[0.95301487]
reaction_time:302ship_height:500,[0.94950222]
reaction_time:303ship_height:500,[0.95378715]
reaction_time:304ship_height:500,[0.95043203]
reaction_time:305ship_height:500,[0.95052736]
reaction_time:306ship_height:500,[0.95329845]
reaction_time:307ship_height:500,[0.95406914]
reaction_time:308ship_height:500,[0.94522]
reaction_time:309ship_height:500,[0.9411569]
reaction_time:310ship_height:500,[0.94907227]
reaction_time:311ship_height:500,[0.94658885]
reaction_time:312ship_height:500,[0.9428208]
reaction_time:313ship_height:500,[0.94338377]
reaction_time:314ship_height:500,[0.94429583]
reaction_time:315ship_height:500,[0.94254803]
reaction_time:316ship_height:500,[0.94477217]
reaction_time:317ship_height:500,[0.94222001]
reaction_time:318ship_height:500,[0.94142068]
reaction_time:319ship_height:500,[0.94316296]
reaction_time:320ship_height:500,[0.94254644]
reaction_time:321ship_height:500,[0.93703998]
reaction_time:322ship_height:500,[0.94470501]
reaction_time:323ship_height:500,[0.94673243]
reaction_time:324ship_height:500,[0.94557329]
reaction_time:325ship_height:500,[0.94228054]
reaction_time:326ship_height:500,[0.9320923]
reaction_time:327ship_height:500,[0.94137219]
reaction_time:328ship_height:500,[0.93922764]
reaction_time:329ship_height:500,[0.93173939]
reaction_time:330ship_height:500,[0.93742974]
reaction_time:331ship_height:500,[0.92847353]
reaction_time:332ship_height:500,[0.93864904]
reaction_time:333ship_height:500,[0.93864273]
reaction_time:334ship_height:500,[0.94434411]
reaction_time:335ship_height:500,[0.93056375]
reaction_time:336ship_height:500,[0.93757771]
reaction_time:337ship_height:500,[0.93909032]
reaction_time:338ship_height:500,[0.93426922]
reaction_time:339ship_height:500,[0.93121256]
reaction_time:340ship_height:500,[0.93429915]
reaction_time:341ship_height:500,[0.93371292]
reaction_time:342ship_height:500,[0.93511298]
reaction_time:343ship_height:500,[0.93812397]
reaction_time:344ship_height:500,[0.93305488]
reaction_time:345ship_height:500,[0.92171281]
reaction_time:346ship_height:500,[0.93158309]
reaction_time:347ship_height:500,[0.93014602]
reaction_time:348ship_height:500,[0.92912882]
reaction_time:349ship_height:500,[0.92155291]
reaction_time:350ship_height:500,[0.91846997]
reaction_time:351ship_height:500,[0.92872848]
reaction_time:352ship_height:500,[0.92543301]
reaction_time:353ship_height:500,[0.9263972]
reaction_time:354ship_height:500,[0.92703284]
reaction_time:355ship_height:500,[0.91907324]
reaction_time:356ship_height:500,[0.92356928]
reaction_time:357ship_height:500,[0.92519619]
reaction_time:358ship_height:500,[0.92679901]
reaction_time:359ship_height:500,[0.92221074]
reaction_time:360ship_height:500,[0.91517534]
reaction_time:361ship_height:500,[0.92716606]
reaction_time:362ship_height:500,[0.92668318]
reaction_time:363ship_height:500,[0.92069101]
reaction_time:364ship_height:500,[0.91813844]
reaction_time:365ship_height:500,[0.92328589]
reaction_time:366ship_height:500,[0.91301099]
reaction_time:367ship_height:500,[0.91326104]
reaction_time:368ship_height:500,[0.91363608]
reaction_time:369ship_height:500,[0.91815699]
reaction_time:370ship_height:500,[0.91882372]
reaction_time:371ship_height:500,[0.9105464]
reaction_time:372ship_height:500,[0.90836752]
reaction_time:373ship_height:500,[0.91469266]
reaction_time:374ship_height:500,[0.90438623]
reaction_time:375ship_height:500,[0.91316355]
reaction_time:376ship_height:500,[0.90836924]
reaction_time:377ship_height:500,[0.90628424]
reaction_time:378ship_height:500,[0.91509063]
reaction_time:379ship_height:500,[0.90235682]
reaction_time:380ship_height:500,[0.90812552]
reaction_time:381ship_height:500,[0.90517898]
reaction_time:382ship_height:500,[0.90641664]
reaction_time:383ship_height:500,[0.90627394]
reaction_time:384ship_height:500,[0.90614994]
reaction_time:385ship_height:500,[0.8976957]
reaction_time:386ship_height:500,[0.90294898]
reaction_time:387ship_height:500,[0.90214486]
reaction_time:388ship_height:500,[0.89896015]
reaction_time:389ship_height:500,[0.90484277]
reaction_time:390ship_height:500,[0.902316]
reaction_time:391ship_height:500,[0.90534342]
reaction_time:392ship_height:500,[0.90558147]
reaction_time:393ship_height:500,[0.89661202]
reaction_time:394ship_height:500,[0.89154877]
reaction_time:395ship_height:500,[0.8982033]
reaction_time:396ship_height:500,[0.89378969]
reaction_time:397ship_height:500,[0.89616839]
reaction_time:398ship_height:500,[0.89556469]
reaction_time:399ship_height:500,[0.88956022]
reaction_time:400ship_height:500,[0.89368456]
reaction_time:401ship_height:500,[0.89659774]
reaction_time:402ship_height:500,[0.89364016]
reaction_time:403ship_height:500,[0.89161361]
reaction_time:404ship_height:500,[0.88624198]
reaction_time:405ship_height:500,[0.88719569]
reaction_time:406ship_height:500,[0.88491654]
reaction_time:407ship_height:500,[0.8918996]
reaction_time:408ship_height:500,[0.89176374]
reaction_time:409ship_height:500,[0.88440612]
reaction_time:410ship_height:500,[0.8868705]
reaction_time:411ship_height:500,[0.87970997]
reaction_time:412ship_height:500,[0.87903164]
reaction_time:413ship_height:500,[0.8799924]
reaction_time:414ship_height:500,[0.87484993]
reaction_time:415ship_height:500,[0.87271012]
reaction_time:416ship_height:500,[0.8780608]
reaction_time:417ship_height:500,[0.88111972]
reaction_time:418ship_height:500,[0.87127507]
reaction_time:419ship_height:500,[0.86959244]
reaction_time:420ship_height:500,[0.87381311]
reaction_time:421ship_height:500,[0.87942542]
reaction_time:422ship_height:500,[0.87395788]
reaction_time:423ship_height:500,[0.87485549]
reaction_time:424ship_height:500,[0.86107857]
reaction_time:425ship_height:500,[0.86994535]
reaction_time:426ship_height:500,[0.86335442]
reaction_time:427ship_height:500,[0.87459487]
reaction_time:428ship_height:500,[0.86052713]
reaction_time:429ship_height:500,[0.86960338]
reaction_time:430ship_height:500,[0.86787907]
reaction_time:431ship_height:500,[0.86560297]
reaction_time:432ship_height:500,[0.8597034]
reaction_time:433ship_height:500,[0.85774752]
reaction_time:434ship_height:500,[0.85676023]
reaction_time:435ship_height:500,[0.86638863]
reaction_time:436ship_height:500,[0.86256565]
reaction_time:437ship_height:500,[0.85855148]
reaction_time:438ship_height:500,[0.86150197]
reaction_time:439ship_height:500,[0.85876434]
reaction_time:440ship_height:500,[0.85375999]
reaction_time:441ship_height:500,[0.84919002]
reaction_time:442ship_height:500,[0.85360995]
reaction_time:443ship_height:500,[0.85362138]
reaction_time:444ship_height:500,[0.84290103]
reaction_time:445ship_height:500,[0.86316542]
reaction_time:446ship_height:500,[0.84844842]
reaction_time:447ship_height:500,[0.84880203]
reaction_time:448ship_height:500,[0.85087657]
reaction_time:449ship_height:500,[0.84590157]
reaction_time:450ship_height:500,[0.84699545]
reaction_time:451ship_height:500,[0.83350975]
reaction_time:452ship_height:500,[0.84639192]
reaction_time:453ship_height:500,[0.84492777]
reaction_time:454ship_height:500,[0.84095075]
reaction_time:455ship_height:500,[0.84200553]
reaction_time:456ship_height:500,[0.83549389]
reaction_time:457ship_height:500,[0.83479291]
reaction_time:458ship_height:500,[0.84304426]
reaction_time:459ship_height:500,[0.83693371]
reaction_time:460ship_height:500,[0.83726541]
reaction_time:461ship_height:500,[0.83344618]
reaction_time:462ship_height:500,[0.83162439]
reaction_time:463ship_height:500,[0.82362967]
reaction_time:464ship_height:500,[0.83391883]
reaction_time:465ship_height:500,[0.82392174]
reaction_time:466ship_height:500,[0.83866159]
reaction_time:467ship_height:500,[0.82442517]
reaction_time:468ship_height:500,[0.82904831]
reaction_time:469ship_height:500,[0.82322538]
reaction_time:470ship_height:500,[0.82246983]
reaction_time:471ship_height:500,[0.824758]
reaction_time:472ship_height:500,[0.81731267]
reaction_time:473ship_height:500,[0.82093199]
reaction_time:474ship_height:500,[0.8212345]
reaction_time:475ship_height:500,[0.81546768]
reaction_time:476ship_height:500,[0.81427921]
reaction_time:477ship_height:500,[0.81112014]
reaction_time:478ship_height:500,[0.80739986]
reaction_time:479ship_height:500,[0.81718376]
reaction_time:480ship_height:500,[0.81001854]
reaction_time:481ship_height:500,[0.80848219]
reaction_time:482ship_height:500,[0.80964024]
reaction_time:483ship_height:500,[0.78963717]
reaction_time:484ship_height:500,[0.81140426]
reaction_time:485ship_height:500,[0.80902185]
reaction_time:486ship_height:500,[0.79397728]
reaction_time:487ship_height:500,[0.79093465]
reaction_time:488ship_height:500,[0.80328483]
reaction_time:489ship_height:500,[0.80217491]
reaction_time:490ship_height:500,[0.7896361]
reaction_time:491ship_height:500,[0.79063272]
reaction_time:492ship_height:500,[0.78909742]
reaction_time:493ship_height:500,[0.78506333]
reaction_time:494ship_height:500,[0.78365209]
reaction_time:495ship_height:500,[0.78422352]
reaction_time:496ship_height:500,[0.78819302]
reaction_time:497ship_height:500,[0.78861844]
reaction_time:498ship_height:500,[0.79227082]
reaction_time:499ship_height:500,[0.78207784]
reaction_time:500ship_height:500,[0.7773434]
reaction_time:501ship_height:500,[0.78434506]
reaction_time:502ship_height:500,[0.77238215]
reaction_time:503ship_height:500,[0.78118706]
reaction_time:504ship_height:500,[0.78478212]
reaction_time:505ship_height:500,[0.77035528]
reaction_time:506ship_height:500,[0.77306703]
reaction_time:507ship_height:500,[0.77311993]
reaction_time:508ship_height:500,[0.77110171]
reaction_time:509ship_height:500,[0.77854876]
reaction_time:510ship_height:500,[0.77256881]
reaction_time:511ship_height:500,[0.75816627]
reaction_time:512ship_height:500,[0.77325458]
reaction_time:513ship_height:500,[0.76623301]
reaction_time:514ship_height:500,[0.77460523]
reaction_time:515ship_height:500,[0.7644375]
reaction_time:516ship_height:500,[0.75725727]
reaction_time:517ship_height:500,[0.74870344]
reaction_time:518ship_height:500,[0.76560496]
reaction_time:519ship_height:500,[0.75342819]
reaction_time:520ship_height:500,[0.74633191]
reaction_time:521ship_height:500,[0.7426211]
reaction_time:522ship_height:500,[0.75193115]
reaction_time:523ship_height:500,[0.73911994]
reaction_time:524ship_height:500,[0.75795941]
reaction_time:525ship_height:500,[0.74167416]
reaction_time:526ship_height:500,[0.76111672]
reaction_time:527ship_height:500,[0.7372885]
reaction_time:528ship_height:500,[0.74499333]
reaction_time:529ship_height:500,[0.7371148]
reaction_time:530ship_height:500,[0.74340688]
reaction_time:531ship_height:500,[0.71902938]
reaction_time:532ship_height:500,[0.73538449]
reaction_time:533ship_height:500,[0.7300722]
reaction_time:534ship_height:500,[0.74099553]
reaction_time:535ship_height:500,[0.72901786]
reaction_time:536ship_height:500,[0.73256429]
reaction_time:537ship_height:500,[0.72927274]
reaction_time:538ship_height:500,[0.73277584]
reaction_time:539ship_height:500,[0.73378716]
reaction_time:540ship_height:500,[0.72525229]
reaction_time:541ship_height:500,[0.71963065]
reaction_time:542ship_height:500,[0.73231011]
reaction_time:543ship_height:500,[0.72275513]
reaction_time:544ship_height:500,[0.71309206]
reaction_time:545ship_height:500,[0.71031448]
reaction_time:546ship_height:500,[0.70653675]
reaction_time:547ship_height:500,[0.69958414]
reaction_time:548ship_height:500,[0.70531828]
reaction_time:549ship_height:500,[0.70366419]
reaction_time:550ship_height:500,[0.70977858]
reaction_time:551ship_height:500,[0.69398571]
reaction_time:552ship_height:500,[0.70237737]
reaction_time:553ship_height:500,[0.70160751]
reaction_time:554ship_height:500,[0.69911039]
reaction_time:555ship_height:500,[0.70412751]
reaction_time:556ship_height:500,[0.68934827]
reaction_time:557ship_height:500,[0.70458528]
reaction_time:558ship_height:500,[0.6961711]
reaction_time:559ship_height:500,[0.68957575]
reaction_time:560ship_height:500,[0.69308285]
reaction_time:561ship_height:500,[0.68627035]
reaction_time:562ship_height:500,[0.69333387]
reaction_time:563ship_height:500,[0.6892159]
reaction_time:564ship_height:500,[0.68746856]
reaction_time:565ship_height:500,[0.67941849]
reaction_time:566ship_height:500,[0.67343577]
reaction_time:567ship_height:500,[0.67883557]
reaction_time:568ship_height:500,[0.67936077]
reaction_time:569ship_height:500,[0.67492241]
reaction_time:570ship_height:500,[0.67002524]
reaction_time:571ship_height:500,[0.66843028]
reaction_time:572ship_height:500,[0.66892356]
reaction_time:573ship_height:500,[0.66396062]
reaction_time:574ship_height:500,[0.66780187]
reaction_time:575ship_height:500,[0.66611248]
reaction_time:576ship_height:500,[0.65863555]
reaction_time:577ship_height:500,[0.66489295]
reaction_time:578ship_height:500,[0.65176641]
reaction_time:579ship_height:500,[0.65448965]
reaction_time:580ship_height:500,[0.64777749]
reaction_time:581ship_height:500,[0.66520231]
reaction_time:582ship_height:500,[0.64722706]
reaction_time:583ship_height:500,[0.64532587]
reaction_time:584ship_height:500,[0.65169383]
reaction_time:585ship_height:500,[0.64816222]
reaction_time:586ship_height:500,[0.63894825]
reaction_time:587ship_height:500,[0.63959767]
reaction_time:588ship_height:500,[0.64032142]
reaction_time:589ship_height:500,[0.6488138]
reaction_time:590ship_height:500,[0.64023772]
reaction_time:591ship_height:500,[0.64276041]
reaction_time:592ship_height:500,[0.62168666]
reaction_time:593ship_height:500,[0.63260839]
reaction_time:594ship_height:500,[0.64080846]
reaction_time:595ship_height:500,[0.63375619]
reaction_time:596ship_height:500,[0.63600225]
reaction_time:597ship_height:500,[0.62125259]
reaction_time:598ship_height:500,[0.62502302]
reaction_time:599ship_height:500,[0.61561854]
