reaction_time:0ship_height:500,[nan]
reaction_time:198ship_height:500,[0.97820727]
reaction_time:199ship_height:500,[0.96864744]
reaction_time:200ship_height:500,[0.97396957]
reaction_time:201ship_height:500,[0.97443322]
reaction_time:202ship_height:500,[0.96918489]
reaction_time:203ship_height:500,[0.97622109]
reaction_time:204ship_height:500,[0.97804954]
reaction_time:205ship_height:500,[0.974907]
reaction_time:206ship_height:500,[0.96734164]
reaction_time:207ship_height:500,[0.97267653]
reaction_time:208ship_height:500,[0.97454573]
reaction_time:209ship_height:500,[0.97626948]
reaction_time:210ship_height:500,[0.96778085]
reaction_time:211ship_height:500,[0.96842563]
reaction_time:212ship_height:500,[0.96975221]
reaction_time:213ship_height:500,[0.97069223]
reaction_time:214ship_height:500,[0.97068966]
reaction_time:215ship_height:500,[0.96986068]
reaction_time:216ship_height:500,[0.96277819]
reaction_time:217ship_height:500,[0.9620389]
reaction_time:218ship_height:500,[0.97636831]
reaction_time:219ship_height:500,[0.96393787]
reaction_time:220ship_height:500,[0.96834202]
reaction_time:221ship_height:500,[0.96809804]
reaction_time:222ship_height:500,[0.97087456]
reaction_time:223ship_height:500,[0.96329986]
reaction_time:224ship_height:500,[0.97108308]
reaction_time:225ship_height:500,[0.97153836]
reaction_time:226ship_height:500,[0.97094646]
reaction_time:227ship_height:500,[0.9678871]
reaction_time:228ship_height:500,[0.96884759]
reaction_time:229ship_height:500,[0.96084995]
reaction_time:230ship_height:500,[0.9682572]
reaction_time:231ship_height:500,[0.9678369]
reaction_time:232ship_height:500,[0.96744775]
reaction_time:233ship_height:500,[0.96616721]
reaction_time:234ship_height:500,[0.96358069]
reaction_time:235ship_height:500,[0.95976624]
reaction_time:236ship_height:500,[0.96663627]
reaction_time:237ship_height:500,[0.96224645]
reaction_time:238ship_height:500,[0.96273365]
reaction_time:239ship_height:500,[0.97516646]
reaction_time:240ship_height:500,[0.96639855]
reaction_time:241ship_height:500,[0.9661635]
reaction_time:242ship_height:500,[0.9608002]
reaction_time:243ship_height:500,[0.96778974]
reaction_time:244ship_height:500,[0.95992744]
reaction_time:245ship_height:500,[0.96107857]
reaction_time:246ship_height:500,[0.96110232]
reaction_time:247ship_height:500,[0.95703857]
reaction_time:248ship_height:500,[0.96053304]
reaction_time:249ship_height:500,[0.95322006]
reaction_time:250ship_height:500,[0.9682174]
reaction_time:251ship_height:500,[0.96954082]
reaction_time:252ship_height:500,[0.95502707]
reaction_time:253ship_height:500,[0.96060953]
reaction_time:254ship_height:500,[0.96088789]
reaction_time:255ship_height:500,[0.9638358]
reaction_time:256ship_height:500,[0.95703137]
reaction_time:257ship_height:500,[0.9662096]
reaction_time:258ship_height:500,[0.95660444]
reaction_time:259ship_height:500,[0.9502217]
reaction_time:260ship_height:500,[0.95620727]
reaction_time:261ship_height:500,[0.9548744]
reaction_time:262ship_height:500,[0.95845385]
reaction_time:263ship_height:500,[0.95682301]
reaction_time:264ship_height:500,[0.95685235]
reaction_time:265ship_height:500,[0.94636635]
reaction_time:266ship_height:500,[0.9578451]
reaction_time:267ship_height:500,[0.95506004]
reaction_time:268ship_height:500,[0.9539785]
reaction_time:269ship_height:500,[0.95693051]
reaction_time:270ship_height:500,[0.95148792]
reaction_time:271ship_height:500,[0.95504971]
reaction_time:272ship_height:500,[0.9515415]
reaction_time:273ship_height:500,[0.95131327]
reaction_time:274ship_height:500,[0.95041436]
reaction_time:275ship_height:500,[0.95025314]
reaction_time:276ship_height:500,[0.94520191]
reaction_time:277ship_height:500,[0.95128714]
reaction_time:278ship_height:500,[0.94904367]
